Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-13 09:17:00  UNIVASTU     4887       -278950.0 Dynamic   447.0      yes      14.66
2025-10-13 09:18:00  UNIVASTU     6906       -278950.0 Dynamic   642.0      no       12.77
2025-10-13 09:19:00  BBOX         18261      -61993.0  Dynamic   10468.0    yes      5.39 
2025-10-13 09:19:00  SGFIN        2007       -196093.0 Dynamic   751.0      yes      17.77
2025-10-13 09:20:00  SGFIN        4096       -196093.0 Dynamic   1553.0     yes      16.2 
2025-10-13 09:21:00  MONQ50       17046      -30123.0  Dynamic   1696.0     no       4.67 
2025-10-13 09:21:00  SANDUMA      157453     58367.0   Dynamic   32813.0    yes      18.31
2025-10-13 09:21:00  GCSL         12668      -173780.0 Dynamic   3306.0     no       6.15 
2025-10-13 09:22:00  POWERMECH    3130       -215591.0 Dynamic   8639.0     yes      16.51
2025-10-13 09:22:00  NITINSPIN    3129       -181605.0 Dynamic   1025.0     yes      17.65
2025-10-13 09:24:00  MONQ50       21157      -30123.0  Dynamic   2115.0     no       4.15 
2025-10-13 09:24:00  TARAPUR      5048       -336552.0 Dynamic   155.0      no       14.25
2025-10-13 09:25:00  TARAPUR      6882       -336552.0 Dynamic   213.0      no       13.18
2025-10-13 09:33:00  NDTV         6955       -169726.0 Dynamic   688.0      yes      16.71
2025-10-13 09:37:00  DANGEE       107562     -227898.0 Dynamic   546.0      yes      0.0  
2025-10-13 09:37:00  JUSTDIAL     24332      -126653.0 Dynamic   20842.0    yes      16.62
2025-10-13 09:38:00  BBOX         2666       -61993.0  Dynamic   1513.0     no       6.43 
2025-10-13 09:38:00  RBZJEWEL     22869      -52799.0  Dynamic   3449.0     yes      15.93
2025-10-13 09:39:00  WAAREERTL    304819     216166.0  Dynamic   383615.0   yes      8.05 
2025-10-13 09:40:00  AFFORDABLE   7783       -149239.0 Dynamic   2109.0     yes      0.67 
2025-10-13 09:44:00  KECL         89380      -67779.0  Dynamic   11442.0    yes      8.84 
2025-10-13 09:45:00  BLSE         6132       -184858.0 Dynamic   1050.0     no       28.71
2025-10-13 09:51:00  UNIVASTU     14133      -278950.0 Dynamic   1368.0     no       8.31 
2025-10-13 09:56:00  WINDMACHIN   2766       -161728.0 Dynamic   826.0      yes      18.59
2025-10-13 10:00:00  WINDMACHIN   6017       -161728.0 Dynamic   1823.0     yes      16.83
2025-10-13 10:06:00  SANDHAR      14607      -123326.0 Dynamic   7756.0     yes      17.02
2025-10-13 10:07:00  GROWWSLVR    21229      13184.0   Dynamic   3605.0     yes      10.02
2025-10-13 10:12:00  ADANIPOWER   918739     799118.0  Dynamic   138169.0   yes      19.45
2025-10-13 10:14:00  MAPMYINDIA   27357      -252849.0 Dynamic   50118.0    no       11.62
2025-10-13 10:15:00  MAPMYINDIA   51457      -252849.0 Dynamic   94784.0    no       11.01
2025-10-13 10:18:00  RBZJEWEL     4101       -52799.0  Dynamic   617.0      yes      16.16
2025-10-13 10:19:00  BLSE         3533       -184858.0 Dynamic   595.0      no       30.81
2025-10-13 10:23:00  NIRAJ        6000       -409099.0 Dynamic   198.0      no       27.39
2025-10-13 10:31:00  SANDHAR      12640      -123326.0 Dynamic   6742.0     yes      16.49
2025-10-13 10:32:00  TARACHAND    14668      -31357.0  Dynamic   1341.0     yes      14.17
2025-10-13 10:33:00  TARACHAND    30412      -31357.0  Dynamic   2843.0     yes      11.62
2025-10-13 10:40:00  TICL         25401      -7140.0   Dynamic   762.0      yes      9.73 
2025-10-13 10:41:00  LATTEYS      7080       -183318.0 Dynamic   169.0      yes      14.37
2025-10-13 10:44:00  LATTEYS      14394      -183318.0 Dynamic   350.0      yes      12.72
2025-10-13 10:45:00  LATTEYS      26018      -183318.0 Dynamic   632.0      yes      12.67
2025-10-13 10:45:00  SHANKARA     32205      28101.0   Dynamic   4561.0     yes      4.77 
2025-10-13 10:49:00  NDTV         14379      -169726.0 Dynamic   1379.0     no       20.46
2025-10-13 10:58:00  LATTEYS      27213      -183318.0 Dynamic   680.0      yes      9.56 
2025-10-13 11:01:00  TATAINVEST   9218       -123105.0 Dynamic   86280.0    yes      19.17
2025-10-13 11:07:00  MAPMYINDIA   19638      -252849.0 Dynamic   35525.0    no       13.03
2025-10-13 11:08:00  TATAINVEST   2166       -123105.0 Dynamic   20293.0    yes      19.05
2025-10-13 11:09:00  TATAINVEST   4248       -123105.0 Dynamic   39842.0    yes      18.93
2025-10-13 11:09:00  LATTEYS      9750       -183318.0 Dynamic   239.0      no       11.53
2025-10-13 11:16:00  KECL         35841      -67779.0  Dynamic   4559.0     no       9.54 
2025-10-13 11:17:00  KECL         87380      -67779.0  Dynamic   11228.0    yes      8.44 
2025-10-13 11:19:00  KECL         117778     -67779.0  Dynamic   15297.0    yes      7.28 
2025-10-13 11:23:00  TARACHAND    15765      -31357.0  Dynamic   1470.0     yes      11.9 
2025-10-13 11:27:00  INDOCO       51825      46705.0   Dynamic   16299.0    yes      9.62 
2025-10-13 11:29:00  GCSL         11645      -173780.0 Dynamic   3025.0     no       6.62 
2025-10-13 11:35:00  MAPMYINDIA   2956       -252849.0 Dynamic   5341.0     no       13.17
2025-10-13 11:35:00  ACLGATI      4868       -27862.0  Dynamic   279.0      no       22.97
2025-10-13 11:36:00  MAPMYINDIA   6114       -252849.0 Dynamic   11066.0    no       12.97
2025-10-13 11:37:00  MAPMYINDIA   10364      -252849.0 Dynamic   18763.0    no       12.95
2025-10-13 11:37:00  UNIVASTU     15886      -278950.0 Dynamic   1612.0     yes      3.37 
2025-10-13 11:40:00  MANAKCOAT    246396     130452.0  Dynamic   40823.0    yes      5.44 
2025-10-13 11:40:00  ESTER        5464       -3358.0   Dynamic   656.0      no       15.52
2025-10-13 11:41:00  UNIVASTU     11391      -278950.0 Dynamic   1166.0     yes      2.44 
2025-10-13 11:42:00  UNIVASTU     42819      -278950.0 Dynamic   4434.0     yes      1.28 
2025-10-13 11:45:00  KECL         24201      -67779.0  Dynamic   3100.0     no       8.77 
2025-10-13 11:45:00  SANDUMA      66519      58367.0   Dynamic   13697.0    no       19.74
2025-10-13 11:46:00  KECL         79673      -67779.0  Dynamic   10278.0    no       8.02 
2025-10-13 11:48:00  LYKALABS     4915       -338505.0 Dynamic   487.0      yes      14.46
2025-10-13 11:58:00  KECL         19846      -67779.0  Dynamic   2564.0     no       7.84 
