Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-17 09:18:00  TARAPUR      20536      19240.0   50%       788.0      yes      0.0  
2025-10-17 09:19:00  SHAREINDIA   666899     178302.0  50%       130712.0   yes      9.37 
2025-10-17 09:19:00  SILVERBEES   1669001    1000000   UHV       271847.0   yes      23.42
2025-10-17 09:22:00  CIEINDIA     65553      60468.0   45%       29217.0    yes      14.72
2025-10-17 09:22:00  ADANIPOWER   1531043    1000000   UHV       247156.0   yes      16.98
2025-10-17 09:23:00  DELHIVERY    4430055    1498226.0 50%       1993746.0  yes      9.2  
2025-10-17 09:23:00  DELHIVERY    4430055    1000000   UHV       1993746.0  yes      9.2  
2025-10-17 09:24:00  RUSTOMJEE    21547      18154.0   50%       12390.0    yes      9.79 
2025-10-17 09:25:00  ETERNAL      1832141    1000000   UHV       620913.0   no       12.89
2025-10-17 09:26:00  ETERNAL      2000834    1000000   UHV       685086.0   yes      11.74
2025-10-17 09:28:00  IDEA         8287120    1000000   UHV       73341.0    yes      9.94 
2025-10-17 09:30:00  KALPATARU    68682      66200.0   40%       27775.0    yes      0.31 
2025-10-17 09:31:00  SHAREINDIA   209244     178302.0  50%       40572.0    no       10.55
2025-10-17 09:31:00  ADANIPOWER   1294703    1000000   UHV       210765.0   yes      16.0 
2025-10-17 09:33:00  SHAREINDIA   275745     178302.0  50%       53944.0    no       9.57 
2025-10-17 09:34:00  SHAREINDIA   381268     178302.0  50%       74603.0    no       9.55 
2025-10-17 09:34:00  ASTEC        18737      17498.0   40%       15251.0    no       7.31 
2025-10-17 09:37:00  CIEINDIA     99936      67186.0   50%       45586.0    yes      12.09
2025-10-17 09:38:00  ADANIPOWER   2974873    2437171.0 50%       487463.0   yes      15.24
2025-10-17 09:38:00  ADANIPOWER   2974873    1000000   UHV       487463.0   yes      15.24
2025-10-17 09:41:00  TATAINVEST   68142      47798.0   50%       62895.0    yes      17.77
2025-10-17 09:46:00  ADANIPOWER   1442339    1000000   UHV       237121.0   yes      14.87
2025-10-17 09:50:00  SHAREINDIA   126743     124811.0  35%       24752.0    no       9.76 
2025-10-17 09:51:00  SHAREINDIA   230919     178302.0  50%       45105.0    no       9.74 
2025-10-17 09:53:00  ETERNAL      1991783    1000000   UHV       685373.0   yes      11.19
2025-10-17 09:57:00  ADANIPOWER   1206286    1000000   UHV       198012.0   yes      15.04
2025-10-17 10:15:00  ASTEC        33468      21872.0   50%       27929.0    yes      4.67 
2025-10-17 10:16:00  ASTEC        34452      21872.0   50%       28850.0    yes      4.3  
2025-10-17 10:16:00  WHIRLPOOL    76238      68929.0   40%       101267.0   yes      11.82
2025-10-17 10:17:00  ASTEC        35822      21872.0   50%       30125.0    yes      3.86 
2025-10-17 10:19:00  MARINE       85898      81780.0   40%       20185.0    yes      1.53 
2025-10-17 10:30:00  BLS          718234     705012.0  40%       242979.0   yes      15.1 
2025-10-17 10:32:00  WHIRLPOOL    78447      77545.0   45%       105009.0   yes      10.96
2025-10-17 10:52:00  GSLSU        51423      47949.0   45%       5129.0     no       3.68 
2025-10-17 10:53:00  GSLSU        82277      53277.0   50%       8294.0     yes      2.6  
2025-10-17 11:06:00  ADANIPOWER   1538487    1000000   UHV       255189.0   yes      13.85
2025-10-17 11:21:00  RUSTOMJEE    73564      18154.0   50%       42833.0    yes      8.42 
2025-10-17 11:23:00  WHIRLPOOL    68451      60313.0   35%       91930.0    yes      10.6 
2025-10-17 11:24:00  WHIRLPOOL    69621      68929.0   40%       93647.0    yes      10.42
2025-10-17 11:27:00  AUTOBEES     279238     182724.0  50%       78399.0    yes      17.24
2025-10-17 11:29:00  SHAREINDIA   222865     178302.0  50%       43461.0    no       9.92 
2025-10-17 11:29:00  ABINFRA      28609      26184.0   45%       572.0      yes      3.4  
2025-10-17 11:30:00  ABINFRA      93545      29094.0   50%       1890.0     no       2.33 
2025-10-17 11:35:00  BBTC         20039      18728.0   35%       40479.0    yes      12.14
2025-10-17 11:39:00  WHIRLPOOL    89895      86161.0   50%       121808.0   yes      9.62 
2025-10-17 11:46:00  BBTC         24109      24079.0   45%       49014.0    yes      11.42
2025-10-17 12:16:00  ASTEC        75024      21872.0   50%       58669.0    no       11.69
2025-10-17 12:20:00  BBTC         47655      26754.0   50%       98836.0    yes      9.22 
2025-10-17 12:31:00  BBTC         50052      26754.0   50%       104308.0   yes      8.69 
2025-10-17 12:38:00  WHIRLPOOL    91431      86161.0   50%       125562.0   yes      8.16 
2025-10-17 12:46:00  PRITI        37497      21404.0   50%       2915.0     yes      0.0  
2025-10-17 12:51:00  BBTC         19459      18728.0   35%       39671.0    no       11.11
2025-10-17 12:55:00  TATAGOLD     2081165    1000000   UHV       26410.0    yes      14.97
2025-10-17 12:59:00  WHIRLPOOL    64960      60313.0   35%       89294.0    yes      8.05 
2025-10-17 13:03:00  WHIRLPOOL    82794      77545.0   45%       114082.0   yes      7.79 
2025-10-17 13:10:00  WHIRLPOOL    72491      68929.0   40%       99835.0    yes      7.85 
2025-10-17 13:20:00  SHREDIGCEM   413670     372855.0  35%       38926.0    no       14.54
2025-10-17 13:20:00  BBTC         25194      24079.0   45%       50481.0    no       13.05
2025-10-17 13:21:00  BBTC         36454      26754.0   50%       73386.0    no       12.52
