Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-17 09:18:00  TARAPUR      20536      19240.0   50%       788.0      yes      0.0   NA:CTUC
2025-10-17 09:19:00  SHAREINDIA   666899     178302.0  50%       130712.0   yes      9.37  Short:Loss
2025-10-17 09:22:00  CIEINDIA     65553      60468.0   45%       29217.0    yes      14.72 Long:Profit
2025-10-17 09:22:00  ADANIPOWER   1531043    1000000   UHV       247156.0   yes      16.98 NA:NE
2025-10-17 09:23:00  DELHIVERY    4430055    1498226.0 50%       1993746.0  yes      9.2   NA:SS
2025-10-17 09:24:00  RUSTOMJEE    21547      18154.0   50%       12390.0    yes      9.79  NA:LV
2025-10-17 09:30:00  KALPATARU    68682      66200.0   40%       27775.0    yes      0.31  NA:NDH
2025-10-17 09:31:00  SHAREINDIA   209244     178302.0  50%       40572.0    no       10.55 NA:PAT
2025-10-17 09:31:00  ADANIPOWER   1294703    1000000   UHV       210765.0   yes      16.0  NA:NE
2025-10-17 09:34:00  ASTEC        18737      17498.0   40%       15251.0    no       7.31  Short:Proft
2025-10-17 09:37:00  CIEINDIA     99936      67186.0   50%       45586.0    yes      12.09 NA:PAT


/// taking longs
2025-10-17 10:15:00  ASTEC        33468      21872.0   50%       27929.0    yes      4.67  NA:PAT
2025-10-17 10:16:00  ASTEC        34452      21872.0   50%       28850.0    yes      4.3   NA:PAT 
2025-10-17 10:16:00  WHIRLPOOL    76238      68929.0   40%       101267.0   yes      11.82 Long:Loss(sad)
2025-10-17 10:17:00  ASTEC        35822      21872.0   50%       30125.0    yes      3.86  NA:PAT
2025-10-17 10:19:00  MARINE       85898      81780.0   40%       20185.0    yes      1.53  NA:CTUC
2025-10-17 10:30:00  BLS          718234     705012.0  40%       242979.0   yes      15.1  Long:LOSS
2025-10-17 10:32:00  WHIRLPOOL    78447      77545.0   45%       105009.0   yes      10.96 NA:PAT
2025-10-17 10:52:00  GSLSU        51423      47949.0   45%       5129.0     no       3.68  NA:NDH
2025-10-17 10:53:00  GSLSU        82277      53277.0   50%       8294.0     yes      2.    NA:CTUC  
2025-10-17 11:21:00  RUSTOMJEE    73564      18154.0   50%       42833.0    yes      8.42  NA:LV
2025-10-17 11:29:00  SHAREINDIA   222865     178302.0  50%       43461.0    no       9.92  NA:PAT
2025-10-17 11:29:00  ABINFRA      28609      26184.0   45%       572.0      yes      3.4   NA
2025-10-17 11:30:00  ABINFRA      93545      29094.0   50%       1890.0     no       2.33  NA:CTUC
2025-10-17 11:35:00  BBTC         20039      18728.0   35%       40479.0    yes      12.14 Long:Profit
2025-10-17 11:39:00  WHIRLPOOL    89895      86161.0   50%       121808.0   yes      9.62  NA:PAT
2025-10-17 11:46:00  BBTC         24109      24079.0   45%       49014.0    yes      11.42 NA:PAT
2025-10-17 12:16:00  ASTEC        75024      21872.0   50%       58669.0    no       11.69 NA:PAT
2025-10-17 12:20:00  BBTC         47655      26754.0   50%       98836.0    yes      9.22  NA:PAT
2025-10-17 12:31:00  BBTC         50052      26754.0   50%       104308.0   yes      8.69  NA:PAT
2025-10-17 12:38:00  WHIRLPOOL    91431      86161.0   50%       125562.0   yes      8.16  NA:PAT
2025-10-17 12:46:00  PRITI        37497      21404.0   50%       2915.0     yes      0.0   NA:CTUC
2025-10-17 12:51:00  BBTC         19459      18728.0   35%       39671.0    no       11.11 NA:PAT
2025-10-17 12:59:00  WHIRLPOOL    64960      60313.0   35%       89294.0    yes      8.05  NA:PAT 
2025-10-17 13:03:00  WHIRLPOOL    82794      77545.0   45%       114082.0   yes      7.79  NA:PAT
2025-10-17 13:10:00  WHIRLPOOL    72491      68929.0   40%       99835.0    yes      7.85  NA:PAT
2025-10-17 13:20:00  SHREDIGCEM   413670     372855.0  35%       38926.0    no       14.54 NA:NDH
2025-10-17 13:20:00  BBTC         25194      24079.0   45%       50481.0    no       13.05 NA:PAT
2025-10-17 13:21:00  BBTC         36454      26754.0   50%       73386.0    no       12.52 NA:PAT
