Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-20 09:23:00  DVL          28844      13726.0   50%       9315.0     yes      10.02   NA:0
2025-10-20 09:26:00  SOUTHBANK    3259366    3189650.0 45%       111047.0   yes      15.0    NA:NE
2025-10-20 09:28:00  SOUTHBANK    3922416    3544056.0 50%       136971.0   yes      12.2    SHORT:LOSS
2025-10-20 09:32:00  BHAGERIA     30569      30160.0   50%       5731.0     yes      10.59   SHORT:LOSS
2025-10-20 09:34:00  SHAREINDIA   229489     178302.0  50%       46146.0    yes      9.64    SHORT:PROFIT
2025-10-20 09:37:00  SURAJLTD     11107      10887.0   40%       3872.0     yes      0.0     NA:CTUC
2025-10-20 09:38:00  SOUTHBANK    2985568    2835244.0 40%       106525.0   no       9.81    NA:PAT
2025-10-20 09:38:00  CPEDU        19687      18125.0   45%       5985.0     yes      4.75    SHORT:PROFIT
2025-10-20 09:39:00  BHAGERIA     65317      30160.0   50%       12508.0    yes      8.27    NA:PAT
2025-10-20 09:41:00  SOUTHBANK    3018156    2835244.0 40%       108895.0   yes      8.59    NA:PAT
2025-10-20 09:41:00  GFLLIMITED   26715      22162.0   50%       1790.0     yes      14.31   NA:NE
2025-10-20 09:42:00  PRSMJOHNSN   407112     332380.0  50%       60647.0    yes      15.96   NA:NEM
2025-10-20 09:44:00  SAMBHAAV     256205     48243.0   50%       2178.0     yes      0.47    NA:LV


2025-10-20 09:56:00  SHAREINDIA   346364     178302.0  50%       71178.0    yes      7.28    NA:PAT
2025-10-20 09:57:00  SHAREINDIA   399612     178302.0  50%       82680.0    yes      6.55    NA:PAT
2025-10-20 09:58:00  INDORAMA     62068      60734.0   50%       4034.0     yes      11.32   LONG:PROFIT : MB
2025-10-20 09:59:00  BHAGERIA     54574      30160.0   50%       10526.0    yes      7.49    NA:PAT
2025-10-20 10:15:00  SOUTHBANK    5681569    3544056.0 50%       216241.0   yes      2.94    NA:PAT
2025-10-20 10:27:00  DCBBANK      658248     636616.0  45%       97414.0    yes      4.62    NA:CTUC
2025-10-20 10:33:00  GFLLIMITED   17313      15513.0   35%       1204.0     yes      10.18   LONG:PROFIT:MB
2025-10-20 10:36:00  INDORAMA     139897     60734.0   50%       9323.0     no       8.58    NA:PAT
2025-10-20 10:37:00  GFLLIMITED   45207      22162.0   50%       3231.0     no       7.18    NA:PAT
2025-10-20 10:37:00  INDORAMA     142424     60734.0   50%       9655.0     no       6.74    NA:NDH
2025-10-20 10:40:00  INDORAMA     304130     60734.0   50%       22007.0    yes      0.0     NA:CTUC
2025-10-20 10:43:00  RAJRATAN     48845      44528.0   45%       18195.0    yes      4.83    NA:TMM
2025-10-20 10:44:00  INDBANK      17576      17279.0   35%       743.0      no       6.11    NA:NDH
2025-10-20 10:50:00  ADANIPOWER   2334229    2193454.0 45%       399550.0   yes      16.36   NA:NDH
2025-10-20 11:12:00  GFLLIMITED   51804      22162.0   50%       3833.0     yes      3.51    NA:PAT
2025-10-20 11:15:00  RAJRATAN     36407      34633.0   35%       13611.0    no       4.45    NA:TMM
2025-10-20 11:27:00  BHAGERIA     28786      27144.0   45%       5669.0     yes      5.28    NA:PAT
2025-10-20 11:31:00  BHAGERIA     26747      24128.0   40%       5296.0     yes      4.71    NA:PAT
2025-10-20 11:32:00  BHAGERIA     30518      30160.0   50%       6053.0     yes      4.53    NA:PAT
2025-10-20 11:47:00  SANDUMA      325135     103610.0  50%       71435.0    yes      18.82   NA:PAT
2025-10-20 11:48:00  BHAGERIA     79722      30160.0   50%       15793.0    yes      4.66    NA:NE
2025-10-20 11:51:00  DVL          19941      13726.0   50%       6541.0     yes      8.32    NA:NE
2025-10-20 13:09:00  BHAGERIA     22737      21112.0   35%       4508.0     yes      4.57    NA:PAT
2025-10-20 13:30:00  WALCHANNAG   67740      57798.0   50%       11734.0    no       4.25    NA:NE
2025-10-20 13:38:00  BHAGERIA     28540      27144.0   45%       5475.0     no       8.09    NA:PAT
2025-10-20 13:55:00  CEATLTD      51066      49253.0   35%       211030.0   yes      8.38    LONG:PROFIT
2025-10-20 13:56:00  CEATLTD      56031      49253.0   35%       233078.0   yes      7.67    NA:PAT
2025-10-20 14:27:00  SHAREINDIA   164129     160471.0  45%       33911.0    no       6.7     NA:PAT
2025-10-20 14:42:00  RAJRATAN     55650      49476.0   50%       20323.0    no       6.93    NA:PAT
2025-10-20 14:49:00  SHAREINDIA   314345     178302.0  50%       65909.0    yes      5.15    NA:PAT
2025-10-20 14:58:00  CEATLTD      56631      56289.0   40%       238762.0   yes      6.23    NA:PAT
