tradingsymbol,instrument_token,avg_volume
AARTIIND,1793,1050597
ABB,3329,247354
STYRENIX,4865,28292
ACC,5633,234018
ADANIENT,6401,762803
ADOR,8705,11858
AEGISLOG,10241,666547
HAPPSTMNDS,12289,324899
ALEMBICLTD,20225,275382
ARE&M,25601,326286
SHAREINDIA,26625,356603
ROUTE,32769,82516
ANDHRSUGAR,34817,219459
GODREJAGRO,36865,207478
APCOTEXIND,39425,34796
APOLLOHOSP,40193,325780
APOLLOTYRE,41729,911205
ANDHRAPAP,42497,165163
ARENTERP,46337,1008
TCPLPACK,47105,3150
ARVIND,49409,395773
MASFIN,50945,93399
UNIDT,51457,10835
ASHAPURMIN,51969,747250
ASHIMASYN,52737,81992
ASHOKLEY,54273,13178714
IEX,56321,5992449
ASIANPAINT,60417,1060781
ADL,62721,5817
NIRAJ,65281,28244
ATUL,67329,31502
CHEMCON,69121,163122
AUROPHARMA,70401,1384876
GICRE,70913,696092
AUTOAXLES,71169,4055
BAJAJHLDNG,78081,58618
BAJAJHIND,78849,5951957
TIINDIA,79873,230078
BAJFINANCE,81153,7276710
ANGELONE,82945,965804
BALKRISIND,85761,138335
BALMLAWRIE,86529,142526
BALRAMCHIN,87297,410244
CAMS,87553,340743
BANARBEADS,88833,9737
BANARISUG,89601,797
BASF,94209,12361
BATAINDIA,94977,206172
BBTC,97281,53509
SINTERCOM,97537,14087
BEL,98049,13206172
MAHLOG,98561,116059
GLOBE,100609,803618
BEML,101121,341091
NIACL,102145,399584
BERGEPAINT,103425,416974
BEPL,107265,296892
BHARATFORG,108033,1011199
KHADIM,108801,25509
BHARATGEAR,109057,0
IFGLEXPOR,111617,99751
BHEL,112129,6872759
HDFCLIFE,119553,2417694
OSWALGREEN,120577,279781
BIRLACORPN,122881,100026
ICEMAKE,125185,13999
BLUEDART,126721,17861
MAZDOCK,130305,969589
BOMDYEING,131329,661994
ICICIB22,133633,286523
BPCL,134657,5598962
UTIAMC,134913,156792
BPL,135681,68920
BRITANNIA,140033,374113
BSL,143105,15509
LIKHITHA,147969,50316
CANFINHOME,149249,199577
GRAPHITE,151553,666474
CARBORUNIV,152321,88323
CENTENKA,158465,10685
ABREL,160001,123182
CESC,160769,2912066
IGARASHI,162305,52683
CHAMBLFERT,163073,840551
DNAMEDIA,164097,56542
EXIDEIND,173057,1862698
CHOLAFIN,175361,1471924
CIPLA,177665,1396696
HEMIPROP,179457,1143153
DICIND,179969,1728
SHRADHA,181249,36159
SHALBY,182785,284567
HEUBACHIND,183041,15833
SBIETFPB,184833,3060
COROMANDEL,189185,369567
SBIETFIT,189441,12112
COSMOFIRST,189953,53046
CRISIL,193793,34241
CGPOWER,194561,2187339
DABUR,197633,2692312
KEEPLEARN,199169,35233
DALMIASUG,199937,69942
SHIVATEX,205825,4916
DCM,206081,17870
BSHSL,207105,8715
DCMSHRIRAM,207617,151436
DCW,209153,1212059
BANKA,210433,7858
DEEPAKFERT,211713,276030
DHAMPURSUG,219393,154256
ASTRON,223745,105480
DRREDDY,225537,1459243
KHAICHEM,229377,309863
EICHERMOT,232961,415470
EQUITASBNK,233729,3197649
EIDPARRY,234497,192749
EIHOTEL,235265,426263
ORCHPHARMA,237057,73229
ELECTCAST,237569,1167666
DPABHUSHAN,239617,28552
ELGIEQUIP,239873,431095
PGHL,240641,10193
ESABINDIA,244481,3285
ESCORTS,245249,136721
SUBEXLTD,247553,556860
EPL,251137,582538
EVERESTIND,254209,12133
EUROTEXIND,255745,0
FACT,258049,174885
SCHAEFFLER,258817,59389
FEDERALBNK,261889,6775989
AARON,263681,29031
FINCABLES,265729,234736
FINPIPE,266497,558485
UFLEX,269569,29046
FOSECOIND,274689,4644
ZENSARTECH,275457,479194
GABRIEL,277761,282901
GARFIBRES,281601,51052
DANGEE,284161,61153
GHCL,288513,103859
GTECJAINX,289025,1163
APOLLO,290305,4063439
GICHSGFIN,291585,68120
GIPCL,293121,274499
GLAXO,295169,77693
GLFL,295937,0
GTL,297473,271856
NEWGEN,297985,1210885
GMBREW,299009,19650
GNFC,300545,255555
GODFRYPHLP,302337,554961
AMBER,303361,336972
GLAND,303617,145843
FMGOETZE,304641,73734
KANSAINER,306177,453418
ESG,307201,18340
DELTAMAGNT,310785,2738
GRASIM,315393,529181
GREAVESCOT,316161,2151428
GSFC,319233,947965
CASTROLIND,320001,1193575
GUJALKALI,324353,31535
AMBUJACEM,325121,1584368
GFLLIMITED,329985,44324
HARRMALAYA,336129,11452
GALAXYSURF,336641,12614
MARINE,339969,204451
HDFCBANK,341249,15754488
HEG,342017,1969049
SDBL,342529,746709
HEROMOTOCO,345089,862825
HIMATSEIDE,348161,438235
HINDALCO,348929,4651889
HINDCOMPOS,351233,4433
HCC,352001,3867847
HINDUNILVR,356865,1434591
HINDOILEXP,359169,361168
HINDPETRO,359937,3901102
AGI,361473,62744
HINDZINC,364545,2482111
SANOFI,369153,9995
HLVLTD,370689,311294
BIRLANU,372481,7269
ACCURACY,375041,136586
AKZOINDIA,375553,34842
IDBI,377857,7460508
REPL,378881,11063
IFBAGRO,379393,5468
IFBIND,380161,59234
IFCI,381697,5261213
RBA,382465,1174518
SHIVAMILLS,383233,5105
MOGSEC,385793,23005
ASTERDM,386049,812717
INDHOTEL,387073,2314152
INDIACEM,387841,525034
INDIAGLYCO,389377,247383
INDIANHUME,391681,28882
RKEC,396033,37675
RVHL,400641,0
GMMPFAUDLR,401921,55015
GILLETTE,403457,26038
TARC,404737,483759
MGEL,407809,994734
INFY,408065,8167203
INGERRAND,408833,8314
FAIRCHEMOR,413185,7576
TATAINVEST,414977,95596
IOC,415745,8085170
LINDEINDIA,416513,18079
BECTORFOOD,416769,106810
IONEXCHANG,417281,128185
IPCALAB,418049,210747
ITC,424961,12631184
SUNDROP,425729,13811
HGINFRA,428033,73051
