instrument_token,exchange_token,tradingsymbol,name,last_price
1793,7,AARTIIND,AARTI INDUSTRIES,0.0
3329,13,ABB,ABB INDIA,0.0
4865,19,STYRENIX,STYRENIX PERFORMANCE,0.0
5633,22,ACC,ACC,0.0
6401,25,ADANIENT,ADANI ENTERPRISES,0.0
8705,34,ADOR,ADOR WELDING,0.0
10241,40,AEGISLOG,AEGIS LOGISTICS,0.0
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,0.0
20225,79,ALEMBICLTD,ALEMBIC,0.0
25601,100,ARE&M,AMARA RAJA ENERGY MOB,0.0
26625,104,SHAREINDIA,SHARE IND. SECURITIES,0.0
32769,128,ROUTE,ROUTE MOBILE,0.0
34817,136,ANDHRSUGAR,ANDHRA SUGARS,0.0
36865,144,GODREJAGRO,GODREJ AGROVET,0.0
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,0.0
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0.0
41729,163,APOLLOTYRE,APOLLO TYRES,0.0
42497,166,ANDHRAPAP,ANDHRA PAPER,0.0
46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,0.0
47105,184,TCPLPACK,TCPL PACKAGING,0.0
49409,193,ARVIND,ARVIND,0.0
50945,199,MASFIN,MAS FINANCIAL SERV,0.0
51457,201,UNIDT,UNITED DRILLING TOOLS,0.0
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,0.0
52737,206,ASHIMASYN,ASHIMA,0.0
54273,212,ASHOKLEY,ASHOK LEYLAND,0.0
56321,220,IEX,INDIAN ENERGY EXC,0.0
60417,236,ASIANPAINT,ASIAN PAINTS,0.0
62721,245,ADL,ARCHIDPLY DECOR,0.0
65281,255,NIRAJ,NIRAJ CEMENT STRUC,0.0
67329,263,ATUL,ATUL,0.0
69121,270,CHEMCON,CHEMCON SPECIAL CHEM,0.0
70401,275,AUROPHARMA,AUROBINDO PHARMA,0.0
70913,277,GICRE,GENERAL INS CORP OF INDIA,0.0
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,0.0
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,0.0
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,0.0
79873,312,TIINDIA,TUBE INVEST OF INDIA,0.0
81153,317,BAJFINANCE,BAJAJ FINANCE,0.0
82945,324,ANGELONE,ANGEL ONE,0.0
85761,335,BALKRISIND,BALKRISHNA IND.,0.0
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,0.0
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,0.0
87553,342,CAMS,COMPUTER AGE MNGT SER,0.0
88833,347,BANARBEADS,BANARAS BEADS,0.0
89601,350,BANARISUG,BANNARI AMMAN SUGARS,0.0
94209,368,BASF,BASF INDIA,0.0
94977,371,BATAINDIA,BATA INDIA,0.0
97281,380,BBTC,BOMBAY BURMAH TRADING COR,0.0
97537,381,SINTERCOM,SINTERCOM INDIA,0.0
98049,383,BEL,BHARAT ELECTRONICS,0.0
98561,385,MAHLOG,MAHINDRA LOGISTIC,0.0
100609,393,GLOBE,GLOBE TEXTILES (I),0.0
101121,395,BEML,BEML,0.0
102145,399,NIACL,THE NEW INDIA ASSU CO,0.0
103425,404,BERGEPAINT,BERGER PAINTS (I),0.0
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,0.0
108033,422,BHARATFORG,BHARAT FORGE,0.0
108801,425,KHADIM,KHADIM INDIA,0.0
109057,426,BHARATGEAR,BHARAT GEARS,0.0
111617,436,IFGLEXPOR,IFGL REFRACTORIES,0.0
112129,438,BHEL,BHEL,0.0
119553,467,HDFCLIFE,HDFC LIFE INS CO,0.0
120577,471,OSWALGREEN,OSWAL GREENTECH,0.0
122881,480,BIRLACORPN,BIRLA CORPORATION,0.0
125185,489,ICEMAKE,ICE MAKE REFRIGERAT,0.0
126721,495,BLUEDART,BLUE DART EXPRESS,0.0
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,0.0
131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,0.0
133633,522,ICICIB22,ICICIPRAMC - BHARATIWIN,0.0
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0.0
134913,527,UTIAMC,UTI ASSET MNGMT CO,0.0
135681,530,BPL,BPL,0.0
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0.0
143105,559,BSL,BSL,0.0
147969,578,LIKHITHA,LIKHITHA INFRASTRUC,0.0
149249,583,CANFINHOME,CAN FIN HOMES,0.0
151553,592,GRAPHITE,GRAPHITE INDIA,0.0
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,0.0
158465,619,CENTENKA,CENTURY ENKA,0.0
160001,625,ABREL,ADITYA BIRLA REAL EST,0.0
160769,628,CESC,CESC,0.0
162305,634,IGARASHI,IGARASHI MOTORS INDIA,0.0
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,0.0
164097,641,DNAMEDIA,DILIGENT MEDIA CORP,0.0
173057,676,EXIDEIND,EXIDE INDUSTRIES,0.0
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,0.0
177665,694,CIPLA,CIPLA,0.0
179457,701,HEMIPROP,HEMISPHERE PROP IND,0.0
179969,703,DICIND,DIC INDIA,0.0
181249,708,SHRADHA,SHRADHA INFRAPROJECTS,0.0
182785,714,SHALBY,SHALBY,0.0
183041,715,HEUBACHIND,HEUBACH COLORANTS IND,0.0
184833,722,SBIETFPB,SBIAMC - SBIETFPB,0.0
189185,739,COROMANDEL,COROMANDEL INTERNTL.,0.0
189441,740,SBIETFIT,SBIAMC - SBIETFIT,0.0
189953,742,COSMOFIRST,COSMO FIRST,0.0
193793,757,CRISIL,CRISIL,0.0
