Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-10 09:24:00  ITI          223678     162350.0  Dynamic   76733.0    yes      18.12
2025-10-10 09:33:00  DANGEE       33833      26868.0   Dynamic   152.0      yes      2.67 
2025-10-10 09:35:00  SALZERELEC   42802      34189.0   Dynamic   38432.0    yes      16.25
2025-10-10 09:41:00  RPOWER       1066597    972283.0  Dynamic   49202.0    yes      15.63
2025-10-10 09:42:00  MIRZAINT     114922     113936.0  Dynamic   4780.0     yes      5.96 
2025-10-10 09:45:00  JPPOWER      2042704    1860668.0 Dynamic   37790.0    yes      16.43
2025-10-10 09:49:00  VASCONEQ     341276     314384.0  Dynamic   25254.0    yes      15.5 
2025-10-10 09:50:00  AVANTEL      388325     295074.0  Dynamic   83447.0    yes      15.72
2025-10-10 09:51:00  SANGAMIND    18511      18129.0   Dynamic   8380.0     no       6.23 
2025-10-10 09:54:00  SANDHAR      41678      35899.0   Dynamic   21039.0    yes      14.05
2025-10-10 09:54:00  PRECWIRE     84328      47937.0   Dynamic   18669.0    yes      16.01
2025-10-10 09:54:00  YESBANK      4215825    2803132.0 Dynamic   96669.0    yes      7.54 
2025-10-10 09:56:00  HCC          785160     398032.0  Dynamic   22840.0    yes      14.51
2025-10-10 10:00:00  PSB          242438     209965.0  Dynamic   7256.0     yes      17.81
2025-10-10 10:03:00  ISGEC        21866      16448.0   Dynamic   20478.0    yes      11.56
2025-10-10 10:05:00  TATSILV      1376940    583108.0  Dynamic   22141.0    no       6.97 
2025-10-10 10:07:00  SILVERIETF   454083     403223.0  Dynamic   71836.0    no       15.73
2025-10-10 10:12:00  MAHABANK     877156     558179.0  Dynamic   50980.0    yes      16.83
2025-10-10 10:22:00  SOUTHBANK    901365     590076.0  Dynamic   29186.0    yes      15.29
2025-10-10 10:28:00  UCOBANK      839039     564117.0  Dynamic   26858.0    yes      15.28
2025-10-10 10:28:00  AGIIL        54217      37973.0   Dynamic   15061.0    yes      7.56 
2025-10-10 10:30:00  JYOTICNC     90855      67430.0   Dynamic   90446.0    yes      10.18
2025-10-10 10:40:00  VPRPL        300342     186637.0  Dynamic   29668.0    yes      7.89 
2025-10-10 11:14:00  TTML         470591     139749.0  Dynamic   27812.0    yes      5.09 
2025-10-10 11:36:00  INDUSINDBK   562747     377639.0  Dynamic   429320.0   yes      8.02 
2025-10-10 11:36:00  ITC          965746     859017.0  Dynamic   389340.0   yes      9.1  
2025-10-10 11:36:00  SUZLON       2681840    2465040.0 Dynamic   146321.0   yes      7.18 
2025-10-10 11:36:00  PAISALO      1211369    976356.0  Dynamic   47195.0    no       19.4 
2025-10-10 11:42:00  TATACOMM     147798     98533.0   Dynamic   280994.0   yes      7.1  
2025-10-10 11:42:00  ZEEL         1589792    705455.0  Dynamic   178136.0   yes      17.64
2025-10-10 12:04:00  INDORAMA     53545      41972.0   Dynamic   3279.0     yes      12.79
2025-10-10 13:14:00  REDINGTON    576667     533324.0  Dynamic   168070.0   yes      10.59
2025-10-10 13:39:00  INDOTHAI     100992     83364.0   Dynamic   38034.0    yes      0.07 
2025-10-10 13:44:00  ELECON       98439      97246.0   Dynamic   55416.0    no       28.71
2025-10-10 13:47:00  UTKARSHBNK   312692     208920.0  Dynamic   7192.0     yes      15.43
2025-10-10 14:21:00  CENTEXT      180158     83034.0   Dynamic   6230.0     yes      0.67 
2025-10-10 14:44:00  SANDUMA      73477      59394.0   Dynamic   15010.0    no       19.49
2025-10-10 14:54:00  GICRE        207826     156061.0  Dynamic   80979.0    yes      16.46
2025-10-10 15:09:00  INFIBEAM     737833     644903.0  Dynamic   14439.0    no       18.34
2025-10-10 15:12:00  RGL          106194     93155.0   Dynamic   14422.0    no       20.14
2025-10-10 15:17:00  SAIL         927670     729851.0  Dynamic   122916.0   no       13.28
