Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-15 09:20:00  GENESYS      75953      73576.0   50%       41375.0    yes      5.65 
2025-10-15 09:21:00  TATAINVEST   95465      47798.0   50%       95656.0    yes      23.95
2025-10-15 09:25:00  QUICKHEAL    200920     147902.0  50%       69207.0    yes      7.39 
2025-10-15 09:26:00  TARAPUR      34703      19240.0   50%       1208.0     yes      0.0  
2025-10-15 09:38:00  IDEA         5806844    1000000   UHV       49416.0    yes      7.99 
2025-10-15 09:42:00  GENESYS      103683     73576.0   50%       57197.0    yes      4.33 
2025-10-15 09:43:00  GENESYS      169449     73576.0   50%       95400.0    yes      2.23 
2025-10-15 09:44:00  GENESYS      216884     73576.0   50%       122659.0   yes      1.77 
2025-10-15 09:59:00  IDEA         6670703    1000000   UHV       56768.0    yes      7.99 
2025-10-15 10:01:00  HILTON       33296      27580.0   50%       1598.0     yes      3.06 
2025-10-15 10:02:00  IDEA         7199252    1000000   UHV       61554.0    yes      7.49 
2025-10-15 10:03:00  IDEA         14924935   1000000   UHV       128205.0   yes      6.98 
2025-10-15 10:05:00  GENESYS      178518     73576.0   50%       101934.0   yes      0.8  
2025-10-15 10:25:00  UNIPARTS     54216      52327.0   45%       28699.0    yes      12.27
2025-10-15 10:39:00  TVSELECT     15562      13710.0   35%       9508.0     yes      14.12
2025-10-15 10:41:00  TVSELECT     63010      19585.0   50%       39041.0    no       12.53
2025-10-15 10:41:00  TATSILV      1962548    1000000   UHV       34580.0    yes      0.51 
2025-10-15 10:52:00  MGEL         407760     397894.0  40%       6769.0     no       22.05
2025-10-15 11:08:00  ICICIPRULI   562422     444220.0  50%       327470.0   no       12.98
2025-10-15 11:35:00  IDEA         6060149    1000000   UHV       52723.0    yes      5.63 
2025-10-15 11:47:00  SANDUMA      168071     103610.0  50%       35996.0    yes      15.15
2025-10-15 12:00:00  SANDUMA      354335     103610.0  50%       77805.0    yes      12.31
2025-10-15 12:01:00  SANDUMA      492213     103610.0  50%       109109.0   yes      11.26
2025-10-15 12:05:00  SANDUMA      696992     103610.0  50%       157973.0   yes      8.81 
2025-10-15 12:06:00  MAHABANK     2599530    2277553.0 35%       153892.0   yes      11.71
2025-10-15 12:06:00  MAHABANK     2599530    1000000   UHV       153892.0   yes      11.71
2025-10-15 12:18:00  MAHABANK     1127136    1000000   UHV       66884.0    yes      11.44
2025-10-15 12:23:00  SANDUMA      729591     103610.0  50%       172862.0   yes      4.09 
2025-10-15 12:25:00  QUICKHEAL    138201     133111.0  45%       47437.0    no       7.76 
2025-10-15 12:35:00  MAHABANK     1728593    1000000   UHV       103145.0   yes      10.83
2025-10-15 12:46:00  GROWWRAIL    186146     172755.0  45%       6608.0     yes      18.85
2025-10-15 12:50:00  SANDUMA      190049     103610.0  50%       44546.0    no       5.22 
2025-10-15 13:15:00  MAHABANK     1209035    1000000   UHV       72385.0    yes      10.46
2025-10-15 13:26:00  SANDUMA      197241     103610.0  50%       46350.0    no       4.95 
2025-10-15 13:48:00  SANDUMA      292797     103610.0  50%       68154.0    no       5.95 
2025-10-15 13:52:00  GOLDIETF     1807369    1698610.0 50%       197979.0   yes      16.02
2025-10-15 13:52:00  GOLDIETF     1807369    1000000   UHV       197979.0   yes      16.02
2025-10-15 14:16:00  MOTHERSON    1254414    1000000   UHV       131375.0   no       10.33
2025-10-15 14:29:00  SANDUMA      235983     103610.0  50%       55418.0    no       5.02 
2025-10-15 14:30:00  SANDUMA      647480     103610.0  50%       152805.0   yes      4.5  
2025-10-15 14:47:00  AGIIL        45873      41650.0   40%       11266.0    no       14.82
2025-10-15 14:50:00  AGIIL        37853      36443.0   35%       9350.0     no       14.17
2025-10-15 14:57:00  QUICKHEAL    364780     147902.0  50%       128092.0   yes      5.34 
2025-10-15 14:58:00  AGIIL        263359     52062.0   50%       68868.0    yes      7.84 
2025-10-15 15:12:00  AGIIL        52230      52062.0   50%       14024.0    no       5.03 
2025-10-15 15:17:00  SBC          1355460    1000000   UHV       30823.0    no       18.78
2025-10-15 15:24:00  ALLCARGO     753604     749104.0  35%       26730.0    no       7.08
