Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-24 09:17:00  GRWRHITECH   12075      -189212.0 Dynamic   43547.0    yes      15.5 
2025-10-24 09:18:00  ADANIPOWER   1119913    799118.0  Dynamic   187395.0   yes      18.51
2025-10-24 09:18:00  TATSILV      1086110    882660.0  Dynamic   15792.0    no       23.66
2025-10-24 09:18:00  RMDRIP       7194       -311048.0 Dynamic   547.0      yes      17.79
2025-10-24 09:19:00  GRWRHITECH   17284      -189212.0 Dynamic   64243.0    yes      12.07
2025-10-24 09:19:00  RMDRIP       14023      -311048.0 Dynamic   1080.0     yes      16.39
2025-10-24 09:19:00  SAMMAANCAP   1481972    1028638.0 Dynamic   267466.0   yes      6.29 
2025-10-24 09:20:00  DONEAR       2215       -331224.0 Dynamic   228.0      no       20.17
2025-10-24 09:22:00  SIKKO        80314      -329178.0 Dynamic   10922.0    yes      0.47 
2025-10-24 09:22:00  BHAGERIA     103926     -231111.0 Dynamic   23778.0    no       19.9 
2025-10-24 09:22:00  THYROCARE    42395      25353.0   Dynamic   53787.0    yes      17.74
2025-10-24 09:23:00  SIKKO        179557     -329178.0 Dynamic   24488.0    yes      0.18 
2025-10-24 09:23:00  RNBDENIMS    7246       -173406.0 Dynamic   1073.0     no       11.62
2025-10-24 09:24:00  MEGASOFT     66377      29156.0   Dynamic   11741.0    yes      0.0  
2025-10-24 09:24:00  POKARNA      54385      -58363.0  Dynamic   50717.0    yes      15.04
2025-10-24 09:25:00  SANDUMA      89063      58367.0   Dynamic   19618.0    yes      15.83
2025-10-24 09:26:00  SANDUMA      142385     58367.0   Dynamic   31645.0    yes      14.79
2025-10-24 09:27:00  BHAGERIA     106628     -231111.0 Dynamic   24548.0    no       19.16
2025-10-24 09:28:00  RNBDENIMS    7207       -173406.0 Dynamic   1073.0     no       11.02
2025-10-24 09:30:00  COASTCORP    45264      -68269.0  Dynamic   2039.0     no       19.36
2025-10-24 09:31:00  IFBIND       4292       -129114.0 Dynamic   8223.0     yes      18.57
2025-10-24 09:31:00  ARIHANTCAP   453278     399944.0  Dynamic   52811.0    no       16.4 
2025-10-24 09:31:00  MITCON       10842      -462026.0 Dynamic   846.0      yes      13.23
2025-10-24 09:31:00  LATTEYS      9431       -183318.0 Dynamic   336.0      no       6.69 
2025-10-24 09:32:00  INDORAMA     18314      -66921.0  Dynamic   1252.0     yes      17.96
2025-10-24 09:33:00  ANANDRATHI   1933       -34639.0  Dynamic   5999.0     yes      20.19
2025-10-24 09:33:00  MITCON       13654      -462026.0 Dynamic   1091.0     yes      10.55
2025-10-24 09:33:00  ESSARSHPNG   10380      -80353.0  Dynamic   322.0      yes      16.05
2025-10-24 09:35:00  FORCEMOT     1501       -1760.0   Dynamic   25293.0    yes      18.75
2025-10-24 09:35:00  RNBDENIMS    8053       -173406.0 Dynamic   1210.0     no       10.01
2025-10-24 09:36:00  SIKKO        21217      -329178.0 Dynamic   2795.0     no       3.73 
2025-10-24 09:36:00  MITCON       13720      -462026.0 Dynamic   1118.0     yes      8.38 
2025-10-24 09:37:00  GFLLIMITED   3088       -303393.0 Dynamic   226.0      no       22.55
2025-10-24 09:37:00  BHAGERIA     85144      -231111.0 Dynamic   19845.0    yes      17.69
2025-10-24 09:37:00  PFS          789434     272779.0  Dynamic   31183.0    no       6.18 
2025-10-24 09:38:00  MITCON       17619      -462026.0 Dynamic   1470.0     yes      5.84 
2025-10-24 09:38:00  BHAGERIA     183455     -231111.0 Dynamic   43160.0    no       16.6 
2025-10-24 09:39:00  SIKKO        24775      -329178.0 Dynamic   3298.0     no       2.64 
2025-10-24 09:39:00  RNBDENIMS    31652      -173406.0 Dynamic   4836.0     no       8.19 
2025-10-24 09:41:00  THYROCARE    29482      25353.0   Dynamic   37616.0    yes      17.08
2025-10-24 09:41:00  GEEKAYWIRE   5799       -141284.0 Dynamic   415.0      yes      16.19
2025-10-24 09:41:00  RNBDENIMS    33838      -173406.0 Dynamic   5229.0     yes      6.99 
2025-10-24 09:44:00  PFS          621307     272779.0  Dynamic   24685.0    yes      5.56 
2025-10-24 09:50:00  POKARNA      8591       -58363.0  Dynamic   7878.0     no       17.0 
2025-10-24 09:51:00  SIKKO        6850       -329178.0 Dynamic   905.0      no       3.44 
2025-10-24 09:57:00  SIKKO        7498       -329178.0 Dynamic   973.0      no       5.26 
2025-10-24 09:57:00  SANDUMA      64580      58367.0   Dynamic   14270.0    yes      15.46
2025-10-24 10:00:00  COASTCORP    5066       -68269.0  Dynamic   222.0      no       22.52
2025-10-24 10:03:00  NATIONALUM   1257176    896885.0  Dynamic   301685.0   yes      4.64 
2025-10-24 10:07:00  SIKKO        13798      -329178.0 Dynamic   1738.0     no       8.46 
2025-10-24 10:11:00  TATAINVEST   17354      -123105.0 Dynamic   14473.0    no       18.94
2025-10-24 10:14:00  ARIHANTCAP   548912     399944.0  Dynamic   63273.0    no       17.65
2025-10-24 10:14:00  ANUHPHR      15000      -49502.0  Dynamic   1332.0     yes      13.05
2025-10-24 10:16:00  ANUHPHR      19788      -49502.0  Dynamic   1762.0     yes      12.76
2025-10-24 10:17:00  KIRLPNU      4828       -112754.0 Dynamic   5860.0     yes      16.91
2025-10-24 10:31:00  POKARNA      29087      -58363.0  Dynamic   27132.0    yes      15.01
2025-10-24 10:37:00  BHAGERIA     89026      -231111.0 Dynamic   21186.0    yes      15.27
2025-10-24 10:37:00  POKARNA      27976      -58363.0  Dynamic   26499.0    yes      13.27
2025-10-24 10:38:00  POKARNA      39264      -58363.0  Dynamic   37505.0    yes      12.32
2025-10-24 10:38:00  SGFIN        9575       -196093.0 Dynamic   3819.0     yes      21.36
2025-10-24 10:38:00  RNBDENIMS    4481       -173406.0 Dynamic   665.0      no       11.33
2025-10-24 10:39:00  POKARNA      62379      -58363.0  Dynamic   59924.0    yes      11.68
2025-10-24 10:39:00  RNBDENIMS    5080       -173406.0 Dynamic   757.0      no       11.0 
2025-10-24 10:40:00  COASTCORP    16890      -68269.0  Dynamic   725.0      no       25.31
2025-10-24 10:44:00  BHAGERIA     91685      -231111.0 Dynamic   22061.0    yes      14.01
2025-10-24 10:44:00  POKARNA      43078      -58363.0  Dynamic   41753.0    yes      10.69
2025-10-24 10:45:00  BHAGERIA     168921     -231111.0 Dynamic   41085.0    yes      12.79
2025-10-24 10:45:00  POKARNA      73445      -58363.0  Dynamic   71737.0    yes      9.84 
2025-10-24 10:49:00  POKARNA      48088      -58363.0  Dynamic   47150.0    yes      9.42 
2025-10-24 11:01:00  ARROWGREEN   8260       -250836.0 Dynamic   5104.0     yes      6.68 
2025-10-24 11:05:00  LATTEYS      26763      -183318.0 Dynamic   876.0      no       15.97
2025-10-24 11:07:00  BHAGERIA     36488      -231111.0 Dynamic   8740.0     no       14.53
2025-10-24 11:09:00  LATTEYS      14134      -183318.0 Dynamic   469.0      no       14.5 
2025-10-24 11:10:00  ARROWGREEN   10491      -250836.0 Dynamic   6452.0     yes      7.19 
