Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-27 09:17:00  BHARATWIRE   154512     92040.0   50%       30440.0    no       4.94 
2025-10-27 09:22:00  ARIHANTCAP   515997     444450.0  50%       53070.0    no       16.07
2025-10-27 09:22:00  GPTINFRA     118890     106375.0  35%       13953.0    yes      5.78 
2025-10-27 09:23:00  SOUTHBANK    2889559    2835244.0 40%       115640.0   yes      14.27
2025-10-27 09:24:00  BHAGERIA     58253      30160.0   50%       14111.0    yes      16.88
2025-10-27 09:33:00  ARIHANTCAP   530382     444450.0  50%       55117.0    no       14.88
2025-10-27 09:35:00  ARIHANTCAP   576919     444450.0  50%       60513.0    yes      13.81
2025-10-27 09:36:00  VAKRANGEE    1597674    987776.0  50%       15402.0    yes      0.0  
2025-10-27 09:39:00  TEXINFRA     40130      37622.0   35%       4230.0     yes      11.31
2025-10-27 09:48:00  ESSARSHPNG   64986      57354.0   50%       2294.0     yes      9.18 
2025-10-27 09:56:00  ICICIPRULI   726878     444220.0  50%       438271.0   yes      9.81 
2025-10-27 09:57:00  RRKABEL      45730      40189.0   35%       61050.0    yes      11.96
2025-10-27 10:08:00  ARIHANTCAP   647338     444450.0  50%       70689.0    yes      9.32 
2025-10-27 10:12:00  ARIHANTCAP   691450     444450.0  50%       75880.0    yes      8.78 
2025-10-27 10:20:00  ARIHANTCAP   502100     444450.0  50%       54819.0    yes      9.34 
2025-10-27 10:58:00  SURAJLTD     40004      13609.0   50%       12437.0    no       19.65
2025-10-27 11:32:00  TTML         322649     309165.0  40%       18059.0    yes      7.59 
2025-10-27 11:39:00  HATSUN       64264      40238.0   50%       63814.0    yes      9.19 
2025-10-27 11:57:00  ESSARSHPNG   77371      57354.0   50%       2840.0     yes      4.99 
2025-10-27 11:58:00  ESSARSHPNG   171518     57354.0   50%       6367.0     yes      3.83 
2025-10-27 12:08:00  HATSUN       47373      40238.0   50%       50121.0    no       2.48 
2025-10-27 12:20:00  ARIHANTCAP   374568     355560.0  40%       40191.0    no       11.26
2025-10-27 12:26:00  HATSUN       34976      32190.0   40%       37346.0    yes      1.55 
2025-10-27 12:27:00  WANBURY      57144      42983.0   50%       14883.0    no       8.41 
2025-10-27 12:30:00  HATSUN       34061      32190.0   40%       36377.0    yes      1.52 
2025-10-27 12:33:00  HATSUN       311264     40238.0   50%       335278.0   yes      0.66 
2025-10-27 13:18:00  PSPPROJECT   91915      90737.0   35%       84098.0    yes      4.06 
2025-10-27 13:20:00  PSPPROJECT   119730     116662.0  45%       109858.0   yes      3.77 
2025-10-27 13:35:00  VSSL         30980      28619.0   45%       9780.0     yes      14.67
2025-10-27 13:36:00  VSSL         49417      31798.0   50%       15717.0    yes      13.82
2025-10-27 13:46:00  RATNAMANI    11550      10529.0   50%       30718.0    yes      10.22
2025-10-27 13:49:00  STYLAMIND    22243      21420.0   40%       45952.0    yes      10.66
2025-10-27 14:01:00  PSPPROJECT   118959     116662.0  45%       109537.0   yes      3.4  
2025-10-27 14:10:00  TATAINVEST   47558      43018.0   45%       39473.0    no       21.2 
2025-10-27 14:14:00  TATAINVEST   58255      47798.0   50%       48352.0    no       21.2 
2025-10-27 14:22:00  RATNAMANI    10311      9476.0    45%       27449.0    no       10.11
2025-10-27 14:29:00  PSUBNKIETF   48569      47777.0   35%       3900.0     yes      18.99
2025-10-27 14:36:00  VSSL         26475      25439.0   40%       8431.0     yes      13.68
2025-10-27 14:37:00  VSSL         52337      31798.0   50%       16737.0    yes      13.2 
2025-10-27 14:39:00  PSPPROJECT   137420     129624.0  50%       127993.0   yes      2.22 
2025-10-27 14:41:00  GPTINFRA     145040     136768.0  45%       16571.0    no       8.66 
2025-10-27 14:44:00  RATNAMANI    14173      10529.0   50%       37184.0    no       11.73
2025-10-27 14:45:00  RATNAMANI    14774      10529.0   50%       38929.0    no       11.24
2025-10-27 14:49:00  TVSELECT     101231     19585.0   50%       70882.0    no       5.59 
2025-10-27 14:50:00  TVSELECT     262018     19585.0   50%       188653.0   no       2.69 
2025-10-27 14:53:00  TATAINVEST   83111      47798.0   50%       70229.0    yes      19.05
2025-10-27 14:56:00  RATNAMANI    12035      10529.0   50%       31783.0    no       11.0 
2025-10-27 15:08:00  ARIHANTCAP   347934     311115.0  35%       37553.0    no       10.61
2025-10-27 15:13:00  HATSUN       32136      28166.0   35%       34843.0    yes      0.0  
2025-10-27 15:14:00  PSPPROJECT   466961     129624.0  50%       440764.0   yes      0.87 
