Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-29 09:18:00  DCMSHRIRAM   254060     202789    UV        71435.0    yes      13.07 long:loss
2025-10-29 09:18:00  GODAVARIB    65848      59277     UV        4604.0     yes      7.67  NA:LV
2025-10-29 09:19:00  CREDITACC    456018     432729    UV        118491.0   yes      22.68 NA:PNQ
2025-10-29 09:19:00  ESSARSHPNG   135257     114708    UV        1843.0     yes      16.33 NA:PNQ
2025-10-29 09:21:00  SAIL         11122344   9830379   UV        202823.0   yes      6.18  long:profit
2025-10-29 09:21:00  SANDUMA      243264     207220    UV        15404.0    yes      17.18 long:profit
2025-10-29 09:22:00  PRECWIRE     161018     149019    UV        3559.0     yes      18.73 NA:NEM
2025-10-29 09:22:00  DREDGECORP   88345      30442     UV        7851.0     yes      13.62 long:loss
2025-10-29 09:24:00  BHARATWIRE   281743     184079    UV        2902.0     yes      22.33 NA:PNQ
2025-10-29 09:24:00  PSPPROJECT   283692     259248    UV        45301.0    yes      15.41 long:loss
2025-10-29 09:25:00  REMSONSIND   208062     186492    UV        1959.0     yes      17.56 NA:PNQ
2025-10-29 09:25:00  NEWGEN       1844481    1666292   UV        199600.0   yes      15.35 long:loss
2025-10-29 09:25:00  ADANIGREEN   1721578    1527657   UV        89019.0    yes      7.96  long:profit:MB
2025-10-29 09:26:00  HATSUN       82378      80475     UV        5094.0     yes      19.25 NA:LV
2025-10-29 09:26:00  INFOBEAN     221655     201052    UV        61925.0    yes      0.0   NA:CTUC
2025-10-29 09:27:00  MMTC         1157881    898992    UV        20460.0    yes      14.51 long:loss
2025-10-29 09:29:00  SMLISUZU     173913     169942    UV        78647.0    yes      0.35  NA:CTUC
2025-10-29 09:30:00  NUVAMA       218964     134022    UV        62007.0    yes      14.28 NA:PNQ
2025-10-29 09:31:00  RESPONIND    79344      68698     UV        2423.0     yes      13.52 long:loss
2025-10-29 09:33:00  RRKABEL      117905     114825    UV        4648.0     yes      19.29 NA:NEM
2025-10-29 09:34:00  IOC          8119804    8085170   UV        45431.0    yes      6.87  long:profit 
2025-10-29 09:34:00  TMB          83150      67067     UV        8538.0     yes      15.91 long:profit
2025-10-29 09:35:00  ICICIPRULI   1392274    888440    UV        800602.0   yes      8.96  NA:SS 
2025-10-29 09:41:00  MRPL         3509324    3507707   UV        13205.0    yes      17.49 long:profit
2025-10-29 09:41:00  SCI          1652847    1621266   UV        10735.0    yes      18.51 long:profit
2025-10-29 09:45:00  VAIBHAVGBL   370519     369287    UV        1268.0     yes      16.0  long:profit
2025-10-29 09:47:00  INDORAMA     186914     121468    UV        1180.0     yes      15.15 NA:LV
2025-10-29 09:49:00  ADANIPOWER   7165069    4874342   UV        14800.0    yes      19.17 long:profit
2025-10-29 09:51:00  WALCHANNAG   170589     115596    UV        13028.0    yes      1.24  NA:CTUC
2025-10-29 09:52:00  HARDWYN      611219     463638    UV        1330.0     yes      19.49 NA:LV
2025-10-29 09:53:00  SHIVALIK     52468      50673     UV        2222.0     yes      13.28 NA:LV
2025-10-29 09:55:00  GPIL         4321967    4312590   UV        13074.0    yes      12.68 long:loss
2025-10-29 09:57:00  GRAPHITE     1048976    666474    UV        22784.0    yes      17.34 long:profit
2025-10-29 10:11:00  UTKARSHBNK   3088506    1434809   UV        1039.0     yes      19.48 long:profit:MB
2025-10-29 10:16:00  CAMS         760984     340743    UV        46056.0    yes      13.55 NA:PNQ
2025-10-29 10:58:00  HCC          7786270    3867847   UV        2868.0     yes      15.28 long:loss
2025-10-29 11:10:00  ATGL         1811953    582982    UV        65630.0    yes      13.53 long:profit
2025-10-29 11:10:00  NDTV         240461     78365     UV        2066.0     yes      4.8   NA:LV
2025-10-29 11:42:00  SOUTHBANK    22070062   7088111   UV        20937.0    yes      18.67 long:loss
2025-10-29 11:49:00  POKARNA      382733     125982    UV        5074.0     yes      14.14 ----
2025-10-29 12:08:00  ZIMLAB       594311     143694    UV        2574.0     yes      2.92  NA:CTUC
2025-10-29 12:26:00  SAMPANN      602925     111996    UV        1140.0     yes      7.67  NA:LV
2025-10-29 12:28:00  CELLO        828090     204971    UV        10551.0    yes      14.08 ----
2025-10-29 12:32:00  PASUPTAC     262551     65299     UV        3113.0     yes      0.35  NA:CTUC
2025-10-29 12:55:00  RUSTOMJEE    223782     36309     UV        30232.0    yes      7.58  NA:LV
