Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
09:17      KESORAMIND   995779     697719     1214.0     0.53  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KESORAMIND/475905     NA:CTUC
09:17      SECURKLOUD   420445     40309      2025.0     0.91  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SECURKLOUD/2830849    NA:CTUC
09:18      PREMIERPOL   109696     90055      1370.0     11.85 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PREMIERPOL/1000449    NA:NIFTY
09:21      RITES        774830     602395     49198.0    15.94 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RITES/962817          NA:NIFTY
09:21      DREDGECORP   124490     30442      21095.0    9.75  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377    NA:PNQ
09:22      ASTEC        1101064    43744      128988.0   14.56 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ASTEC/4538369         NA:NIFTY
09:23      URJA         1941239    1016471    3142.0     10.77 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/URJA/5171969          NA:NIFTY
09:23      BLSE         74887      73469      13307.0    18.85 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897          NA:SS
09:26      TBOTEK       351470     341760     81581.0    14.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TBOTEK/6077441        long:loss
09:29      ANURAS       237047     215794     31924.0    15.82 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANURAS/724225         long:profit
09:34      FISCHER      662139     555545     8681.0     10.52 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FISCHER/193960449     NA:LV
09:36      APLLTD       98499      98197      9368.0     15.95 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APLLTD/6483969        long:profit
09:40      SPARC        240515     231286     6752.0     18.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SPARC/3785729         NA:PNQ
09:40      THYROCARE    183159     180014     36591.0    13.97 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THYROCARE/4360193     NA:PS
09:41      GPPL         1504825    1460010    9112.0     18.04 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GPPL/5051137          NA:PNQ
09:41      APEX         418591     401728     17129.0    10.41 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APEX/5535489          long:profit
09:41      BALUFORGE    176599     172317     2605.0     9.63  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BALUFORGE/6043393     NA:PS
09:43      PRECWIRE     161221     149019     5130.0     16.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRECWIRE/695553       long:loss
09:44      GOLDIAM      901451     896073     3406.0     15.51 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GOLDIAM/3064577       long:loss 
09:48      UNIVCABLES   64922      48373      2893.0     18.89 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/UNIVCABLES/923393     NA:PNQ
09:49      GANECOS      53466      51112      1889.0     17.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GANECOS/1777665       NA:NE 
09:57      DHARMAJ      49225      35345      1013.0     12.93 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DHARMAJ/3328257       NA:LV
09:58      UNIVASTU     50552      49192      1495.0     12.63 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/UNIVASTU/4858113      NA:LV
09:58      SAMMAANCAP   13774597   12967871   40926.0    6.58  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SAMMAANCAP/7712001    NA:PNQ
09:59      MPHASIS      502333     496251     48016.0    9.56  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MPHASIS/1152769       NA:PNQ
10:01      GODREJCP     1324707    1309324    34771.0    10.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GODREJCP/2585345      NA:SS
10:12      M&MFIN       2429607    2301682    53803.0    18.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/M&MFIN/3400961        NA:PNQ
10:13      AETHER       99274      95906      2298.0     18.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AETHER/2511361        long:profit
10:16      RAMCOCEM     272126     266351     7394.0     17.6  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAMCOCEM/523009       NA:PNQ
10:17      PYRAMID      39301      37801      1401.0     13.44 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PYRAMID/4672001       NA:LV
10:40      MCLOUD       9082637    5041965    17300.0    13.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MCLOUD/7547393        NA:PNQ
10:55      PATELRMART   917827     645528     2973.0     10.79 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PATELRMART/194416385  ---
11:01      KTKBANK      1156003    1009435    6082.0     18.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KTKBANK/2061825       LONG:PROFIT:MB
11:02      DCMSHRIRAM   232262     202789     36935.0    13.17 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DCMSHRIRAM/207617     NA:PS
11:06      COASTCORP    192988     120772     2038.0     15.4  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/COASTCORP/1537537     NA:LV
