Time       Resistance Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      YES        75.0       29551      high       16.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROLEXRINGS/1351425
09:16      NO         4          87370      high       12.01 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANSERA/1472257
09:16      YES        151.0      5261213    high       17.15 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IFCI/381697
09:17      YES        135.0      221476     high       16.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:17      NO         34.0       62040      high       6.12  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/JNKINDIA/6046977
09:18      NO         10.0       28744      high       3.73  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ISGEC/852225
09:18      NO         25         81211      low        26.04 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BAJAJELEC/3848705
09:18      NO         32.0       304618     high       3.11  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CEIGALL/6333953
09:19      YES        37.0       1621266    low        21.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SCI/780289
09:20      YES        35.0       1011859    low        22.09 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TARIL/3884545
09:21      NO         1.0        40194      high       11.71 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PFIZER/676609
09:21      NO         10         284452     high       11.8  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BATAINDIA/94977
09:24      NO         500.0      3867847    high       17.92 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HCC/352001
09:24      NO         27.0       2236249    high       11.75 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAILTEL/622337
09:24      NO         22.0       896073     high       12.55 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GOLDIAM/3064577
09:25      NO         22.0       5611625    high       8.63  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KALYANKJIL/756481
09:25      NO         16.0       597055     high       14.37 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/JKTYRE/3695361
09:26      NO         212.0      772913     high       14.25 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TTML/2292225
09:26      NO         28         60022      high       15.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SHILPAMED/4544513
09:27      NO         14.0       95596      high       17.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATAINVEST/414977
09:27      NO         16.0       268278     high       5.62  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PNGJL/6479873
09:28      NO         1          395721     high       4.5   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AMBER/303361
09:29      NO         3          108971     high       12.87 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GLAXO/295169
09:29      NO         14         67067      high       17.76 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TMB/2801921
09:30      NO         33.0       134944     high       14.89 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NRBBEARING/1933569
09:31      NO         66.0       2188258    high       14.95 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/STLTECH/2383105
09:31      YES        8.0        125982     high       11.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/POKARNA/4518657
09:31      NO         3.0        4496153    high       3.83  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BSE/5013761
09:31      NO         4.0        476918     high       8.57  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MCX/7982337
09:32      NO         10.0       201052     high       10.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INFOBEAN/2822913
09:35      NO         243.0      292492     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TRACXN/2964993
09:35      YES        12.0       603322     high       13.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GOKEX/3015169
09:38      NO         21.0       1052420    high       14.29 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BSOFT/1790465
09:39      NO         31.0       747665     high       13.35 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRAJIND/692481
09:40      NO         4.0        28159      low        23.31 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INTERARCH/6376705
09:43      YES        26.0       395773     low        24.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ARVIND/49409
09:44      YES        69.0       231286     high       16.14 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SPARC/3785729
09:44      NO         10.0       46852      high       18.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AHLUCONT/4565249
09:45      NO         4.0        28633      high       10.66 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANUP/2307585
09:46      NO         32.0       85644      high       12.2  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CHEMPLASTS/1394945
09:46      NO         625.0      2204093    high       12.41 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MOTISONS/5321729
09:48      YES        19         43883      high       17.77 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAMCOSYS/2009857
09:49      NO         16.0       201415     high       9.67  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ITDC/4940545
CODE FAILED DUE TO ZERO ERROR . FIXED.
