Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      DALMIASUG    26.0       87342      low        22.5  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DALMIASUG/199937
09:16      WEL          117.0      374268     high       4.9   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEL/2005761
09:16      VMART        19.0       169437     high       11.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VMART/7496705
09:17      MAFANG       64.0       257991     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAFANG/897793
09:17      RPSGVENT     10.0       49829      high       14.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPSGVENT/2078465
09:17      CONFIPET     222.0      457415     high       18.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CONFIPET/2620929
09:17      WEBELSOLAR   135.0      221476     high       6.95  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:18      V2RETAIL     54.0       86322      low        25.24 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/V2RETAIL/3780097
09:18      ZAGGLE       44.0       743935     high       15.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ZAGGLE/4763649
09:23      INFOBEAN     69.0       201052     high       5.41  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INFOBEAN/2822913
09:23      AGIIL        33.0       104124     high       18.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:29      LATENTVIEW   37.0       412770     high       16.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LATENTVIEW/1745409
09:30      GANECOS      9.0        51112      high       18.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GANECOS/1777665
09:30      METROPOLIS   23.0       61355      low        22.79 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/METROPOLIS/2452737
09:32      TEJASNET     24.0       978254     high       11.92 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TEJASNET/5409537
