tradingsymbol,total_volume,avg_volume
FEDERALBNK,19446043,6775989
GHCL,345175,103859
GFLLIMITED,343617,44324
HINDZINC,2600965,2482111
NURECA,556994,14873
HUHTAMAKI,334754,203931
PRSMJOHNSN,864296,664759
BBOX,139777,124047
SAMBHAAV,1572647,96486
GUJRAFFIA,120477,7298
KPIGREEN,667265,664076
INDUSINDBK,4345227,3567205
ROLEXRINGS,323233,29551
ACUTAAS,514304,334716
SOUTHBANK,91317753,7088111
DTIL,154589,5396
EQUAL50ADD,466178,8262
ANANDRATHI,223475,139390
SUPRIYA,204593,152644
KTKBANK,1805281,1009435
DEVIT,545110,154059
PRITI,132165,42809
BALAJITELE,126963,113139
AXITA,2061340,1899939
GENESYS,313365,147151
RADICO,668781,327085
INDORAMA,654372,121468
IDFCFIRSTB,26141870,16611472
MAHABANK,10785700,6507294
HPIL,92389,37789
HDFCPVTBAN,186165,61916
SWSOLAR,1849710,1848850
FINIETF,374202,298116
HYBRIDFIN,338408,8594
UNIPARTS,125740,116282
BHAGERIA,886627,60321
DCBBANK,17345538,1414703
SOBHA,230387,162391
HSCL,1046979,996126
POCL,924678,590153
GOLDBEES,27805657,16887903
JKTYRE,2740480,597055
DVL,787115,27452
CEATLTD,618658,140723
LATTEYS,110879,73953
AARTECH,136166,45906
BLS,4689021,1762530
ADANIPOWER,40614674,4874342
SETCO,127582,75428
ASTEC,100347,43744
WHIRLPOOL,964265,172322
SANDUMA,1493880,207220
RBLBANK,51011954,12075247
MARATHON,174172,131803
TARAPUR,99395,38481
SUNDARAM,882374,448030
RAJRATAN,247396,98951
RADIOCITY,112416,93774
TEJASNET,1943598,978254
AUBANK,7030658,2697036
MOM100,399810,346672
TATSILV,20713913,6959738
JSFB,269196,230455
AGIIL,173137,104124
AVANTEL,8311342,2440555
ORIENTTECH,292672,231857
SURAJLTD,129984,27218
ABINFRA,209720,58187
INDOFARM,1505262,764679
WAAREERTL,463328,406062
GROWWSLVR,574623,170913
LIQGRWBEES,80345,17790
CPEDU,152291,40277
