instrument_token,tradingsymbol,avg_volume
1793,AARTIIND,1243886
3329,ABB,326136
4865,STYRENIX,28292
5633,ACC,338414
6401,ADANIENT,762803
8705,ADOR,11858
10241,AEGISLOG,666547
12289,HAPPSTMNDS,324899
20225,ALEMBICLTD,275382
25601,ARE&M,600761
26625,SHAREINDIA,356603
32769,ROUTE,82516
34817,ANDHRSUGAR,219459
36865,GODREJAGRO,304001
39425,APCOTEXIND,40655
40193,APOLLOHOSP,405142
41729,APOLLOTYRE,911205
42497,ANDHRAPAP,307364
46337,ARENTERP,1008
47105,TCPLPACK,5283
49409,ARVIND,395773
50945,MASFIN,122102
51457,UNIDT,10835
51969,ASHAPURMIN,747250
52737,ASHIMASYN,147299
54273,ASHOKLEY,14601808
56321,IEX,22277105
60417,ASIANPAINT,1060781
62721,ADL,5817
65281,NIRAJ,28244
67329,ATUL,31502
69121,CHEMCON,163122
70401,AUROPHARMA,1410837
70913,GICRE,915998
71169,AUTOAXLES,16136
78081,BAJAJHLDNG,58618
78849,BAJAJHIND,7996508
79873,TIINDIA,385635
81153,BAJFINANCE,7719217
82945,ANGELONE,965804
85761,BALKRISIND,266496
86529,BALMLAWRIE,379154
87297,BALRAMCHIN,421291
87553,CAMS,340743
88833,BANARBEADS,9737
89601,BANARISUG,797
94209,BASF,17782
94977,BATAINDIA,284452
97281,BBTC,53509
97537,SINTERCOM,18324
98049,BEL,13206172
98561,MAHLOG,219296
100609,GLOBE,803618
101121,BEML,341091
102145,NIACL,5409900
103425,BERGEPAINT,467068
107265,BEPL,309425
108033,BHARATFORG,1011199
108801,KHADIM,54986
109057,BHARATGEAR,66696
111617,IFGLEXPOR,99751
112129,BHEL,6872759
119553,HDFCLIFE,2417694
120577,OSWALGREEN,279781
122881,BIRLACORPN,147223
125185,ICEMAKE,18461
126721,BLUEDART,17861
130305,MAZDOCK,1557899
131329,BOMDYEING,4890545
133633,ICICIB22,286523
134657,BPCL,5598962
134913,UTIAMC,156792
135681,BPL,75365
140033,BRITANNIA,405101
143105,BSL,20194
147969,LIKHITHA,56219
149249,CANFINHOME,199577
151553,GRAPHITE,666474
152321,CARBORUNIV,304601
158465,CENTENKA,18288
160001,ABREL,123182
160769,CESC,2912066
162305,IGARASHI,96913
163073,CHAMBLFERT,2075008
164097,DNAMEDIA,325037
173057,EXIDEIND,3000761
175361,CHOLAFIN,1471924
177665,CIPLA,1396696
179457,HEMIPROP,1143153
179969,DICIND,2251
181249,SHRADHA,77145
182785,SHALBY,720581
183041,HEUBACHIND,25165
184833,SBIETFPB,3060
189185,COROMANDEL,448171
189441,SBIETFIT,12112
189953,COSMOFIRST,79259
193793,CRISIL,34241
194561,CGPOWER,3848183
197633,DABUR,2692312
199169,KEEPLEARN,35233
199937,DALMIASUG,87342
205825,SHIVATEX,4916
206081,DCM,22048
207105,BSHSL,15945
207617,DCMSHRIRAM,202789
209153,DCW,1212059
210433,BANKA,25515
211713,DEEPAKFERT,276030
219393,DHAMPURSUG,209725
223745,ASTRON,105480
225537,DRREDDY,1459243
229377,KHAICHEM,309863
232961,EICHERMOT,571459
233729,EQUITASBNK,3197649
234497,EIDPARRY,273228
235265,EIHOTEL,754126
237057,ORCHPHARMA,73229
237569,ELECTCAST,1482085
239617,DPABHUSHAN,43166
239873,ELGIEQUIP,596504
240641,PGHL,21290
244481,ESABINDIA,3285
245249,ESCORTS,194192
247553,SUBEXLTD,556860
251137,EPL,663225
254209,EVERESTIND,21780
255745,EUROTEXIND,8029
258049,FACT,494234
258817,SCHAEFFLER,59389
261889,FEDERALBNK,6775989
263681,AARON,120285
265729,FINCABLES,234736
266497,FINPIPE,804679
269569,UFLEX,37490
274689,FOSECOIND,27200
275457,ZENSARTECH,495680
277761,GABRIEL,540853
281601,GARFIBRES,51052
284161,DANGEE,61153
288513,GHCL,103859
289025,GTECJAINX,1163
290305,APOLLO,18416861
291585,GICHSGFIN,76158
293121,GIPCL,274499
295169,GLAXO,108971
295937,GLFL,3872
297473,GTL,793121
297985,NEWGEN,1666292
299009,GMBREW,19650
300545,GNFC,363913
302337,GODFRYPHLP,1622132
303361,AMBER,395721
303617,GLAND,271976
304641,FMGOETZE,73734
306177,KANSAINER,453418
307201,ESG,18340
310785,DELTAMAGNT,2738
315393,GRASIM,608634
316161,GREAVESCOT,4187432
319233,GSFC,1760154
320001,CASTROLIND,1534850
324353,GUJALKALI,69397
325121,AMBUJACEM,3165373
329985,GFLLIMITED,44324
336129,HARRMALAYA,14610
336641,GALAXYSURF,17238
339969,MARINE,204451
341249,HDFCBANK,15754488
342017,HEG,1969049
342529,SDBL,924383
345089,HEROMOTOCO,862825
348161,HIMATSEIDE,682818
348929,HINDALCO,4651889
351233,HINDCOMPOS,5627
352001,HCC,3867847
356865,HINDUNILVR,1557780
359169,HINDOILEXP,378485
359937,HINDPETRO,3901102
361473,AGI,444086
364545,HINDZINC,2482111
369153,SANOFI,9995
370689,HLVLTD,465007
372481,BIRLANU,14530
375041,ACCURACY,146658
375553,AKZOINDIA,34842
377857,IDBI,7460508
378881,REPL,15250
379393,IFBAGRO,5468
380161,IFBIND,93178
381697,IFCI,5261213
382465,RBA,1174518
383233,SHIVAMILLS,5271
385793,MOGSEC,36674
386049,ASTERDM,812717
387073,INDHOTEL,2314152
387841,INDIACEM,1261493
389377,INDIAGLYCO,247383
391681,INDIANHUME,37987
396033,RKEC,59546
400641,RVHL,62726
401921,GMMPFAUDLR,55015
403457,GILLETTE,26038
404737,TARC,483759
407809,MGEL,994734
408065,INFY,8167203
