instrument_token,exchange_token,tradingsymbol,name,last_price
257,1,GOLDSTAR-SM,GOLDSTAR POWER,0.0
6913,27,GATECHDVR-BE,GACM TECHNOLOGIES,0.0
11777,46,SANWARIA-BZ,SANWARIA CONSUMER,0.0
20737,81,BETA-SM,BETA DRUGS,0.0
29953,117,OMFURN-SM,OMFURN INDIA,0.0
38145,149,SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,0.0
40705,159,MILTON-SM,MILTON INDUSTRIES,0.0
61441,240,AAKASH-BE,AAKASH EXPLORATION SER L,0.0
64001,250,SGBOCT25-GB,2.50% GOLDBONDS2025SR-III,0.0
77825,304,SGBOCT25IV-GB,2.50% GOLDBONDS2025SR-IV,0.0
85505,334,VALIANTORG-BE,VALIANT ORGANICS,0.0
90881,355,SGBOCT25V-GB,2.50% GOLDBONDS2025SR-V,0.0
91393,357,NAM-INDIA,NIPPON L I A M,0.0
93697,366,ROML-BE,RAJ OIL MILLS,0.0
101889,398,SGBNOV25VI-GB,2.50% GOLDBONDS2025SR-VI,0.0
117249,458,SGBNOV25-GB,2.50% GOLDBONDS2025SR-VII,0.0
123393,482,AISL-SM,ANI INTEGRATED SERV,0.0
127233,497,SGBNOV258-GB,2.50%GOLDBONDS2025SR-VIII,0.0
129793,507,PULZ-SM,PULZ ELECTRONICS,0.0
138241,540,SGBNOV25IX-GB,2.50%GOLDBONDS 2025SR-IX,0.0
146689,573,FELIX-SM,FELIX INDUSTRIES,0.0
159489,623,SGBDEC25-GB,2.50%GOLDBONDS 2025 SR-X,0.0
186625,729,SGBDEC25XI-GB,2.50%GOLDBONDS 2025 SR-XI,0.0
203521,795,SGBDEC2512-GB,2.50%GOLDBONDS2025 SR-XII,0.0
213505,834,SGBOC28VII-GB,2.50%GOLDBONDS2028SR-VII,0.0
216833,847,SMVD-SM,SMVD POLY PACK,0.0
220673,862,SGBDEC2513-GB,2.50%GOLDBONDS2025SR-XIII,0.0
241921,945,SGBJAN26-GB,2.50%GOLDBONDS2026SR-XIV,0.0
311297,1216,PRAXIS-BE,PRAXIS HOME RETAIL,0.0
315137,1231,SOLEX-SM,SOLEX ENERGY,0.0
326145,1274,VASA-SM,VASA RETAIL & OVERSEA,0.0
339713,1327,HCL-INSYS,HCL INFOSYSTEMS,0.0
343553,1342,SGBN28VIII-GB,2.5%GOLDBONDS2028SR-VIII,0.0
346369,1353,AMJUMBO-SM,A AND M JUMBO BAGS,0.0
362753,1417,GLOBAL-BE,GLOBAL EDUCATION,0.0
365057,1426,MHHL-SM,MOHINI HEALTH&HYGIENE,0.0
412161,1610,GODHA-BE,GODHA CABCON INSULAT,0.0
491521,1920,SGBJAN29IX-GB,2.50%GOLDBONDS2029SR-IX,0.0
512769,2003,SGBJAN29X-GB,2.50%GOLDBONDS2029SR-X,0.0
545793,2132,MDL-SM,MARVEL DECOR,0.0
563201,2200,SGBFEB29XI-GB,2.50%GOLDBONDS2029SR-XI,0.0
563969,2203,BIRET-RR,BROOKFIELD INDIA RET,0.0
583169,2278,IRISDOREME-BE,IRIS CLOTHINGS,0.0
604161,2360,DHARAN-BE,DHARAN INFRA-EPC,0.0
605441,2365,GIRIRAJ-SM,GIRIRAJ CIVIL DEVP,0.0
638721,2495,SILGO-BE,SILGO RETAIL,0.0
647937,2531,CONTI-SM,CONTINENTAL SEED CHEM,0.0
665345,2599,PARTYCRUS-SM,PARTY CRUISERS,0.0
682497,2666,VERA-SM,VERA SYNTHETIC,0.0
719361,2810,SGBMR29XII-GB,2.50%GOLDBONDS2029SR-XII,0.0
726785,2839,MAHICKRA-SM,MAHICKRA CHEMICAL,0.0
