instrument_token,tradingsymbol,avg_volume,total_volume
26625,SHAREINDIA,356603,10193671 L
339969,MARINE,204451,542677 PL
416769,BECTORFOOD,106810,133707 PL
655873,HUHTAMAKI,203931,534541 PL
693505,MTARTECH,226400,603783 PL
720897,RALLIS,852324,2847946  PS
724225,ANURAS,215794,297219  NA:NDH
969473,WIPRO,8034469,12642728 NA:NDH
979713,ZUARIIND,332587,376438 L
1056513,SAMBHAAV,96486,732111 NA:NDH
1124865,MIRZAINT,564531,567638 NA:NE
1321473,TATVA,185386,250918 NA:NE
1471489,CYIENT,405870,1200024 NA:SS
1883649,DATAPATTNS,284369,293585 L
1897729,MANAKCOAT,281770,289159 NA:NDH
2408449,RAINBOW,150593,251123 NA:NDH
2457345,DELHIVERY,2996453,5555691 NA:SS
2615553,ADANIENSOL,1598740,1963906 NA:NDH
2791681,GENESYS,147151,874162 PL
2925313,NDTV,78365,427042 NA:SS
3342593,UNIPARTS,116282,134502 NA:NDH
3432705,GPIL,4312590,5098051 PS
3493889,TALBROAUTO,158044,297156 NA:NE
3823873,CIEINDIA,134373,2436304 PL
3927553,SHALPAINTS,231167,445059 NA:LV
3982081,HCG,262383,497836 PL
4066049,HINDWAREAP,261355,358973 L
4423425,BLS,1762530,7770784 L
4451329,ADANIPOWER,4874342,46013973 PL
4516097,SUNTECK,408888,1083585 NA:NDH
4551169,ATL,191485,300169 NA:NDH
4561409,LTIM,228192,422693 NA:NDH
4610817,WHIRLPOOL,172322,859625 PL
4611073,VLEGOV,253534,302220 NA:LV
4699905,SANDUMA,207220,2785275 NA:NDH
4869121,JSWINFRA,1372138,1643595 NA:NDH
4999937,BAJAJCON,977975,1529431 NA:NDH
5064449,MUFIN,317794,580324 NA:Lv
5376257,PSB,1445866,32451876 NA:NDH
6257921,AGIIL,104124,212371 NA
6989569,SAMPANN,111996,120292
7384833,VENTIVE,114978,192830
7742465,BHARATSE,180431,306483
193545729,WAAREERTL,406062,2349138
194009601,CRIZAC,2057417,2253203
194190849,KALPATARU,165501,536425
