Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
09:26      AGIIL        2700       -103061.0  731.0      18.88 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:27      BBOX         7033       -61993.0   3863.0     5.82  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BBOX/879361
09:27      RRKABEL      22030      -80114.0   31816.0    15.55 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RRKABEL/4752897
09:28      RRKABEL      41528      -80114.0   60108.0    15.3  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RRKABEL/4752897
09:29      TVSELECT     27845      -332389.0  17488.0    15.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TVSELECT/2883841
09:29      YESBANK      1489657    1449271.0  34366.0    9.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/YESBANK/3050241
09:29      UNIPARTS     31815      -77156.0   16264.0    16.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/UNIPARTS/3342593
09:29      POWERINDIA   18278      -3245.0    357865.0   0.67  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/POWERINDIA/4724993
09:30      ORCHPHARMA   9470       -185626.0  7465.0     17.27 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ORCHPHARMA/237057
09:30      THANGAMAYL   44093      -322406.0  129069.0   6.73  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:32      THANGAMAYL   66164      -322406.0  197824.0   4.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:34      BIRLACORPN   4717       -21815.0   5739.0     16.93 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BIRLACORPN/122881
09:34      BALAMINES    2288       -305221.0  3333.0     16.41 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BALAMINES/3712257
09:37      POWERINDIA   28352      -3245.0    558818.0   0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/POWERINDIA/4724993
09:38      SCHNEIDER    6613       -80324.0   5846.0     7.34  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SCHNEIDER/7995905
09:39      SUPRIYA      13492      -13333.0   10924.0    16.35 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
09:40      DREDGECORP   37355      -391521.0  34213.0    6.81  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
09:41      IMFA         4858       -69048.0   6015.0     17.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IMFA/4924161
09:43      ROUTE        7293       -157619.0  5361.0     18.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROUTE/32769
