Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
09:25      CUB          5204512    1841122    63725.0    12.67 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CUB/1459457             NA:PNQ 
09:25      ROUTE        106557     82516      8410.0     18.31 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROUTE/32769             long:profit
09:25      TATAINVEST   97926      95596      1674.0     20.66 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATAINVEST/414977       NA:NEM
09:25      THANGAMAYL   422139     40873      216392.0   6.71  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209      long:profit:MB
09:25      LGBBROSLTD   276351     27126      21102.0    11.63 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177      long:profit
09:25      SANDUMA      278294     207220     6432.0     20.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANDUMA/4699905         NA:PNQ 
09:25      POWERINDIA   163221     159352     103081.0   2.74  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/POWERINDIA/4724993      long:profit
09:25      RRKABEL      188402     114825     28882.0    16.35 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RRKABEL/4752897         long:profit
09:25      MUFIN        351909     317794     2910.0     18.09 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MUFIN/5064449           NA:PNQ
09:25      RPEL         58634      40408      1777.0     18.82 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPEL/6332161            NA:PNQ
09:25      QUADFUTURE   985675     713072     41313.0    8.12  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/QUADFUTURE/7446273      long:profit
09:27      NAVINFLUOR   113072     110167     17319.0    19.89 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NAVINFLUOR/3756033      NA:NEM
09:28      JYOTICNC     252213     251895     11598.0    15.13 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/JYOTICNC/5461505        -----
09:29      ONEPOINT     512303     418933     4704.0     7.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ONEPOINT/2544385        NA:PNQ
09:29      TVSELECT     60170      39170      17488.0    15.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TVSELECT/2883841        NA:NDH
09:29      TBOTEK       371342     341760     43795.0    12.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TBOTEK/6077441          NA:NE
