Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      MAFANG       54.0       257991     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAFANG/897793
09:16      WALCHANNAG   40.0       115596     high       17.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WALCHANNAG/956417
09:16      DHANBANK     303.0      607441     high       14.55 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DHANBANK/2907905
09:16      CEATLTD      2.0        140723     high       8.34  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CEATLTD/3905025
09:16      GREENPOWER   769.0      3455972    high       14.56 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GREENPOWER/5148161
09:16      RAJOOENG     169        821648     low        44.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAJOOENG/193804545
09:17      GREENPLY     34.0       147160     high       7.58  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GREENPLY/1020673
09:17      ROLEXRINGS   65.0       29551      high       18.32 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROLEXRINGS/1351425
09:17      AGI          14.0       444086     high       17.83 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGI/361473
09:17      BANDHANBNK   51.0       4769818    high       2.7   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BANDHANBNK/579329
09:17      AGIIL        26.0       104124     high       16.29 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:18      GRSE         3.0        1117482    high       8.61  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GRSE/1401601
09:18      ARISINFRA    72.0       638251     high       13.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ARISINFRA/193949185
09:19      SCI          31.0       1621266    high       16.83 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SCI/780289
09:19      ADANIPOWER   44.0       4874342    high       9.66  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIPOWER/4451329
09:20      ATGL         14.0       582982     high       17.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ATGL/1552897
09:21      COHANCE      20.0       1444503    low        22.76 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/COHANCE/4593921
09:21      APEX         19.0       401728     high       13.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APEX/5535489
09:22      AWL          49.0       1239765    low        21.95 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AWL/2076161
09:22      INFOBEAN     51.0       201052     low        23.3  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INFOBEAN/2822913
09:22      WEBELSOLAR   77.0       221476     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:22      IKIO         59.0       362028     high       6.52  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IKIO/4306433
